,AAPL,AMZN,CVX,FB,GOOG,GS,JNJ,MSFT,NFLX,NKE,NVDA,PFE,TSLA,
,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values,Avg
RMSE - Baseline,0.663523031,17.26629226,0.57009607,1.285803557,6.205338639,1.636672667,0.512757342,0.959398174,2.411664952,0.75341472,3.464443298,0.128671837,5.549498808,3.185198104
R2 - Baseline,0.945610988,0.928041736,0.686101257,0.936880579,0.909965168,0.853879648,0.885460768,0.883565293,0.940715624,0.697558047,0.959706417,0.854370456,0.894443241,0.87509994
Linear RMSE - Baseline,0.640455161,11.5973591,0.140048219,2.833105262,10.51220924,0.415848155,0.550809583,0.931607945,2.392536016,0.388566264,2.265183246,0.155273428,1.105016433,2.609847543
Linear R2 - Baseline,-2.061290317,-0.792909379,-1.523619307,-13.37430273,-4.199726969,-0.549212243,-1.519449834,-2.734155694,-9.989707215,-0.195535261,-3.113781142,-2.163128918,-1.632852635,-3.373051665
SGD RMSE - Baseline,2.12942E+13,2.26E+16,5.2799E+12,1.1762E+14,2.20126E+14,9.1543E+13,1.86862E+13,7.45584E+13,6.54463E+14,3.22289E+13,6.15556E+14,1.26256E+12,3.60335E+14,1.91175E+15
SGD R2 - Baseline,-3.38E+27,-6.83E+30,-3.59E+27,-2.48E+28,-2.28E+27,-7.51E+28,-2.90E+27,-2.39E+28,-8.22E+29,-8.22E+27,-3.04E+29,-2.09E+26,-2.80E+29,-6.44848E+29
Linear RMSE - Only Headlines,0.097953121,6.598323987,0.378846075,0.17261725,1.900445334,0.744984706,0.32525216,0.837950792,1.696797463,0.552722129,2.210118586,0.011203738,2.152685996,1.359992411
Linear R2 - Only Headlines,0.871181479,-1.415766127,-2.94768611,-10.84103683,-67.02398506,-7.648637141,-0.667560728,-48.60059104,-30.63168526,-0.649223332,-9.829459655,-0.189046215,-61.15086179,-18.51725829
SGD RMSE - Only Headlines,2.18642E+13,5.77536E+15,1.42814E+13,1.39655E+14,5.61793E+14,5.26802E+13,1.40566E+13,1.13457E+14,5.48014E+14,2.89924E+12,1.3952E+14,1.11775E+12,4.70116E+14,6.04216E+14
SGD R2 - Only Headlines,-6.42E+27,-1.85E+30,-5.61E+27,-7.75E+30,-5.94E+30,-4.32E+28,-3.11E+27,-9.09E+29,-3.30E+30,-4.54E+25,-4.32E+28,-1.18E+28,-2.96E+30,-1.7563E+30
XGB RMSE - Only Headlines,1.670813675,39.92337036,0.606805483,1.276585187,9.617895032,3.564195686,0.294857599,2.166301398,5.598499155,0.482948879,7.184985095,0.126311529,5.727693711,6.018558676
XGB R2 - Only Headlines,-36.47984593,-87.43863082,-9.127821139,-646.621039,-1741.25361,-196.9593608,-0.370458632,-330.5030893,-343.3543332,-0.259122805,-113.4530518,-150.1328425,-438.9925831,-314.99583
SVR RMSE - Only Headlines,0.030715944,4.482069312,0.337751848,0.225872848,2.150549436,0.329919116,0.281203865,0.706181783,0.894390308,0.544289476,1.490216408,0.000608363,2.028581402,1.038642316
SVR R2 - Only Headlines,0.987333125,-0.114665993,-2.137707799,-19.27446506,-86.10642059,-0.696164322,-0.246475795,-34.22758245,-7.788535,-0.599284173,-3.923504237,0.996494113,-54.19130499,-15.94786794
Linear RMSE - Only Twitter,0.771661423,12.65902477,0.100129069,3.561616951,11.26096792,0.418569927,0.537072882,0.927191476,2.561065288,0.37610561,2.580710609,0.154558549,1.329787057,2.864497041
Linear R2 - Only Twitter,-3.444067403,-1.136193695,-0.289997929,-21.71725143,-4.966834458,-0.569558139,-1.395351154,-2.698834627,-11.59245634,-0.120087187,-4.339653991,-2.134069847,-2.812881266,-4.401325959
SGD RMSE - Only Twitter,1.9335E+13,2.26E+16,1.7764E+13,1.17194E+13,2.1583E+14,4.37274E+13,4.57176E+13,1.89697E+13,6.76134E+14,2.94479E+13,7.64308E+14,1.27322E+12,4.02037E+14,1.91431E+15
SGD R2 - Only Twitter,-2.79E+27,-6.83E+30,-4.06E+28,-2.46E+26,-2.19E+27,-1.71E+28,-1.74E+28,-1.55E+27,-8.78E+29,-6.87E+27,-4.68E+29,-2.13E+26,-3.49E+29,-6.62776E+29
XGB RMSE - Only Twitter,1.033515093,10.3885007,0.251671674,3.056332951,12.13170556,1.229960093,0.694734462,0.900776543,3.510084213,0.358527628,7.218385076,0.166443264,3.327619859,3.405250547
XGB R2 - Only Twitter,-6.971879115,-0.438619278,-7.149619555,-15.72871927,-5.925262969,-12.55262443,-3.008117317,-2.491083132,-22.65398005,-0.01783519,-40.77482067,-2.634586895,-22.87572088,-11.01714375
SVR RMSE - Only Twitter,0.6761402,9.952337168,0.2140955,1.241375123,11.28020521,0.433677989,0.541040609,0.928919743,2.309146534,0.411238801,2.043086737,0.137011231,1.134377685,2.407896349
SVR R2 - Only Twitter,-2.411933619,-0.320353712,-4.897714399,-1.759735383,-4.987238349,-0.684907727,-1.430874103,-2.71263659,-9.23698673,-0.339122709,-2.346633164,-1.462832895,-1.774625845,-2.643507325
Linear RMSE - All,0.162837824,10.77573858,0.39501664,1.10295632,1.780131313,0.658938193,0.131507696,1.102877145,1.736554459,0.563812886,2.220245825,0.012433133,3.017561208,1.820047017
Linear R2 - All,0.643998085,-5.442904721,-3.291882371,-482.4348719,-58.68365157,-5.766160948,0.727388847,-84.92194387,-32.13135007,-0.716073009,-9.928932867,-0.464313368,-121.1231393,-61.81029516
SGD RMSE - All,1.0619E+13,5.77536E+15,1.32284E+13,1.39652E+14,5.61793E+14,1.1013E+14,7.94288E+12,1.1343E+14,1.40686E+13,2.38424E+12,1.39465E+14,2.72059E+12,2.37565E+14,5.48335E+14
SGD R2 - All,-1.51E+27,-1.85E+30,-4.81E+27,-7.75E+30,-5.94E+30,-1.89E+29,-9.94E+26,-9.09E+29,-2.17E+27,-3.07E+25,-4.31E+28,-7.01E+28,-7.57E+29,-1.34791E+30
XGB RMSE - All,0.197264608,49.30229301,0.646102114,2.629083421,10.02504752,3.666531204,0.467945483,2.803546644,5.492514959,0.511682975,7.509924732,0.127458553,5.098642983,6.806002939
XGB R2 - All,0.47755557,-133.8720169,-10.48204791,-2745.819237,-1891.884814,-208.4902107,-2.451690118,-554.2203713,-330.4399197,-0.413408502,-124.0393774,-152.8901539,-347.6542708,-500.1676895
RF RMSE - All,0.599492141,32.42850418,0.391695295,0.614851094,4.662172347,0.635200202,0.235457318,0.414432563,6.548793474,0.880856326,6.241497379,0.099296956,2.2069993,4.304557583
RF R2 - All,-3.825126941,-57.35007898,-3.220012526,-149.2315844,-408.3812572,-5.287445269,0.126092097,-11.13270289,-470.1778947,-3.188667816,-85.36807082,-92.3995401,-64.32661794,-104.1356083
SVR RMSE - All,0.019937677,5.142715281,0.331662158,0.532196619,1.838855874,0.253536924,0.191682068,0.759961177,0.965130374,0.506795623,1.481219563,0.035871593,2.16559669,1.094243202
SVR R2 - All,0.994663078,-0.467481304,-2.025581634,-111.5552013,-62.68639851,-0.001694746,0.420832409,-39.79741381,-9.23373781,-0.386537042,-3.864234602,-11.18917127,-61.89859461,-23.20696547
